,sellprice,symbol,selltime,qty,sl,strike,tp,buyprice,buytime,reason,pnl
12,410.25,BANKNIFTY07JAN2131400PE,2021-01-01 09:31:00,25,402.045,31400,422.5575,402.045,2021-01-01 09:36:00,SL HIT,-205.1249999999996
13,420.6,BANKNIFTY07JAN2131300CE,2021-01-01 09:37:00,25,429.012,31300,407.982,407.982,2021-01-01 09:39:00,TP HIT,315.4499999999999
14,372.6,BANKNIFTY07JAN2131300PE,2021-01-01 09:37:00,25,365.148,31300,383.778,361.422,2021-01-01 09:39:00,TP HIT,279.44999999999993
15,401.5,BANKNIFTY07JAN2131400PE,2021-01-01 09:40:00,25,393.47,31400,413.545,393.47,2021-01-01 09:50:00,SL HIT,-200.74999999999932
16,376.0,BANKNIFTY07JAN2131400CE,2021-01-01 09:51:00,25,383.52,31400,364.72,383.52,2021-01-01 09:54:00,SL HIT,-187.99999999999955
17,395.8,BANKNIFTY07JAN2131400PE,2021-01-01 09:51:00,25,387.884,31400,407.67400000000004,387.884,2021-01-01 09:54:00,SL HIT,-197.89999999999992
18,411.5,BANKNIFTY07JAN2131300CE,2021-01-01 09:55:00,25,419.73,31300,399.155,399.155,2021-01-01 09:57:00,TP HIT,308.6250000000007
19,364.25,BANKNIFTY07JAN2131300PE,2021-01-01 09:55:00,25,356.965,31300,375.1775,353.3225,2021-01-01 09:57:00,TP HIT,273.1875000000002
20,369.05,BANKNIFTY07JAN2131400CE,2021-01-01 09:58:00,25,376.43100000000004,31400,357.9785,376.43100000000004,2021-01-01 09:59:00,SL HIT,-184.52500000000072
21,397.25,BANKNIFTY07JAN2131400PE,2021-01-01 09:58:00,25,389.305,31400,409.1675,389.305,2021-01-01 09:59:00,SL HIT,-198.62499999999983
22,363.8,BANKNIFTY07JAN2131400CE,2021-01-01 10:00:00,25,371.076,31400,352.886,371.076,2021-01-01 10:01:00,SL HIT,-181.90000000000026
23,396.5,BANKNIFTY07JAN2131400PE,2021-01-01 10:00:00,25,388.57,31400,408.395,388.57,2021-01-01 10:01:00,SL HIT,-198.25000000000017
24,408.5,BANKNIFTY07JAN2131300CE,2021-01-01 10:02:00,25,416.67,31300,396.245,396.245,2021-01-01 10:10:00,TP HIT,306.3749999999999
25,363.05,BANKNIFTY07JAN2131300PE,2021-01-01 10:11:00,25,355.789,31300,373.9415,355.789,2021-01-01 10:12:00,SL HIT,-181.5250000000006
